5,982804775238037 U
0,8196115493774414 U
0,9200615882873535 U
0,7627451419830322 U
0,7965326309204102 U
0,8756082057952881 U
1,1404542922973633 U
0,8952867984771729 U
0,8227205276489258 U
0,9053475856781006 U
1,2939560413360596 U
1,8992877006530762 U
1,3393752574920654 U
0,8161134719848633 U
1,0327048301696777 U
0,9819715023040771 U
0,7748963832855225 U
2,126581907272339 U
1,588921308517456 U
0,6586172580718994 N
0,4216194152832031 N
0,39420652389526367 N
0,39786601066589355 N
0,39133119583129883 N
0,390578031539917 N
0,40288543701171875 N
1,3218638896942139 M
0,3462643623352051 M
0,41857123374938965 M
0,3418846130371094 M
0,32761359214782715 M
0,4153757095336914 N
0,3793792724609375 N
0,3957555294036865 N
0,4224386215209961 N
0,38495540618896484 N
0,6796135902404785 M
0,4295961856842041 M
0,41896581649780273 M
0,32853031158447266 M
0,421222448348999 M
0,4066898822784424 N
0,38106393814086914 N
0,41003894805908203 N
0,39300990104675293 N
0,37563514709472656 N
0,40263795852661133 N
0,5652024745941162 M
0,36330604553222656 M
0,3343348503112793 M
0,322145938873291 M
0,3611793518066406 M
0,38753175735473633 N
0,3771986961364746 N
0,3954479694366455 N
0,41967129707336426 N
0,3895101547241211 N
0,3617880344390869 M
0,32540059089660645 M
0,33118677139282227 M
0,316068172454834 M
0,3385617733001709 M
0,38727545738220215 N
0,39353442192077637 N
0,3950612545013428 N
0,4431478977203369 N
0,3984551429748535 N
0,4013957977294922 N
0,40895605087280273 N
0,39228105545043945 N
0,38777947425842285 N
0,3859400749206543 N
0,4421818256378174 N
0,3935103416442871 N
0,41395998001098633 N
0,32068681716918945 M
0,320995569229126 M
0,32128214836120605 M
0,3326108455657959 M
0,3250269889831543 M
0,39034318923950195 N
0,39356422424316406 N
0,40084314346313477 N
0,4058718681335449 N
0,43205881118774414 N
0,32431507110595703 M
0,32785511016845703 M
0,325955867767334 M
0,3505852222442627 M
0,32697248458862305 M
0,4085233211517334 N
0,3887975215911865 N
0,4238605499267578 N
0,41902780532836914 N
0,04583930969238281 
